file_name,file_type,file_label,label_start_year,label_end_year,best_guess_start_date,best_guess_end_date,time_interpretation,time_basis,evidence_level,needs_recheck,recheck_priority,notes
1700.pdf,single_year,1700,1700,1700,1699-11-02?,1700-11-02?,"likely early accounting year volume, but sampled page only shows a year heading",adjacent early-modern convention inference,medium,yes,medium,1700 first page shows year heading but not the full start/end formula visible in later early files.
1701.pdf,single_year,1701,1701,1701,1700-11-02,1701-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1702.pdf,single_year,1702,1702,1702,1701-11-02,1702-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1703.pdf,single_year,1703,1703,1703,1702-11-02,1703-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1704.pdf,single_year,1704,1704,1704,1703-11-02,1704-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1705.pdf,single_year,1705,1705,1705,1704-11-02,1705-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1706.pdf,single_year,1706,1706,1706,1705-11-02,1706-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1707.pdf,single_year,1707,1707,1707,1706-11-02,1707-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1708.pdf,single_year,1708,1708,1708,1707-11-02,1708-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1709.pdf,single_year,1709,1709,1709,1708-11-02,1709-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1710.pdf,single_year,1710,1710,1710,1709-11-02,1710-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1711.pdf,single_year,1711,1711,1711,1710-11-02,1711-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1712.pdf,single_year,1712,1712,1712,1711-11-02,1712-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1713.pdf,single_year,1713,1713,1713,1712-11-02,1713-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1714.pdf,single_year,1714,1714,1714,1713-11-02,1714-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1715.pdf,single_year,1715,1715,1715,1714-11-02,1715-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1716.pdf,single_year,1716,1716,1716,1715-11-02,1716-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1717.pdf,single_year,1717,1717,1717,1716-11-02,1717-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1718.pdf,single_year,1718,1718,1718,1717-11-02,1718-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1719.pdf,single_year,1719,1719,1719,1718-11-02,1719-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1720.pdf,single_year,1720,1720,1720,1719-11-02,1720-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1721-1722.pdf,multi_year,1721-1722,1721,1722,1720-11-02,1721-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,yes,high,"File name suggests 1721-1722, but title page looks like 1720-1721."
1723.pdf,single_year,1723,1723,1723,1722-11-02,1723-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1724.pdf,single_year,1724,1724,1724,1723-11-02,1724-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1725.pdf,single_year,1725,1725,1725,1724-11-02,1725-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1726.pdf,single_year,1726,1726,1726,1725-11-02,1726-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1727.pdf,single_year,1727,1727,1727,1726-11-02,1727-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1728.pdf,single_year,1728,1728,1728,1727-11-02,1728-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1729.pdf,single_year,1729,1729,1729,1728-11-02,1729-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1730.pdf,single_year,1730,1730,1730,1729-11-02,1730-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1731.pdf,single_year,1731,1731,1731,1730-11-02,1731-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1732.pdf,single_year,1732,1732,1732,1731-11-02,1732-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1733.pdf,single_year,1733,1733,1733,1732-11-02,1733-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1734.pdf,single_year,1734,1734,1734,1733-11-02,1734-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1735.pdf,single_year,1735,1735,1735,1734-11-02,1735-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1736.pdf,single_year,1736,1736,1736,1735-11-02,1736-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1737.pdf,single_year,1737,1737,1737,1736-11-02,1737-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1738.pdf,single_year,1738,1738,1738,1737-11-02,1738-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1739.pdf,single_year,1739,1739,1739,1738-11-02,1739-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1740.pdf,single_year,1740,1740,1740,1739-11-02,1740-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1741.pdf,single_year,1741,1741,1741,1740-11-02,1741-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1742.pdf,single_year,1742,1742,1742,1741-11-02,1742-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1743.pdf,single_year,1743,1743,1743,1742-11-02,1743-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1744.pdf,single_year,1744,1744,1744,1743-11-02,1744-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1745.pdf,single_year,1745,1745,1745,1744-11-02,1745-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1746.pdf,single_year,1746,1746,1746,1745-11-02,1746-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1747.pdf,single_year,1747,1747,1747,1746-11-02,1747-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1748.pdf,single_year,1748,1748,1748,1747-11-02,1748-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1749.pdf,single_year,1749,1749,1749,1748-11-02,1749-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1750.pdf,single_year,1750,1750,1750,1749-11-02,1750-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1751.pdf,single_year,1751,1751,1751,1750-11-02,1751-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1752.pdf,single_year,1752,1752,1752,1751-11-02,1752-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1753.pdf,single_year,1753,1753,1753,1752-11-02,1753-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1754.pdf,single_year,1754,1754,1754,1753-11-02,1754-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1755.pdf,single_year,1755,1755,1755,1754-11-02,1755-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1756.pdf,single_year,1756,1756,1756,1755-11-02,1756-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1757.pdf,single_year,1757,1757,1757,1756-11-02,1757-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1758.pdf,single_year,1758,1758,1758,1757-11-02,1758-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1759-1760.pdf,multi_year,1759-1760,1759,1760,1758-11-02,1759-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,yes,high,"File name suggests 1759-1760, but title page looks like 1758-1759."
1761.pdf,single_year,1761,1761,1761,1760-11-02,1761-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1762.pdf,single_year,1762,1762,1762,1761-11-02,1762-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1763.pdf,single_year,1763,1763,1763,1762-11-02,1763-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1764.pdf,single_year,1764,1764,1764,1763-11-02,1764-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1765.pdf,single_year,1765,1765,1765,1764-11-02,1765-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1766.pdf,single_year,1766,1766,1766,1765-11-02,1766-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1767-1768.pdf,multi_year,1767-1768,1767,1768,1767-11-02,1768-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1767-1768 title-page range.
1767.pdf,single_year,1767,1767,1767,1766-11-02,1767-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1769-1770.pdf,multi_year,1769-1770,1769,1770,1769-11-02,1770-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1769-1770 title-page range.
1770-1771.pdf,multi_year,1770-1771,1770,1771,1770-11-02,1771-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1770-1771 title-page range.
1771-1772.pdf,multi_year,1771-1772,1771,1772,1771-11-02,1772-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1771-1772 title-page range.
1772-1773.pdf,multi_year,1772-1773,1772,1773,1772-11-02,1773-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1772-1773 title-page range.
1773-1774.pdf,multi_year,1773-1774,1773,1774,1773-11-02,1774-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1773-1774 title-page range.
1774-1775.pdf,multi_year,1774-1775,1774,1775,1774-11-02,1775-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1774-1775 title-page range.
1775-1776.pdf,multi_year,1775-1776,1775,1776,1775-11-02,1776-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1775-1776 title-page range.
1776-1777.pdf,multi_year,1776-1777,1776,1777,1776-11-02,1777-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1776-1777 title-page range.
1778-1779.pdf,multi_year,1778-1779,1778,1779,1778-11-02,1779-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,medium,recommended,medium,Visual audit supports a 1778-1779 title-page range.
1779-1780.pdf,multi_year,1779-1780,1779,1780,1779-11-02,1780-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1779-1780 title-page range.
1780-1781.pdf,multi_year,1780-1781,1780,1781,1780-11-02,,"cross-year accounting volume; start visible, end year unresolved in current audit",partial visual audit of multi-year volume,medium,yes,high,"The visible crop confirms a start date of 2 Nov 1780, but the terminal year is not visible in the inspected image set."
1781-1782.pdf,multi_year,1781-1782,1781,1782,1781-11-02,1782-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,medium,recommended,medium,Visual audit supports a 1781-1782 title-page range.
1782-1783.pdf,multi_year,1782-1783,1782,1783,1782-11-02,1783-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,medium,recommended,medium,Visual audit supports a 1782-1783 title-page range.
1783-1784.pdf,multi_year,1783-1784,1783,1784,1783-11-02,1784-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1783-1784 title-page range.
1784-1785.pdf,multi_year,1784-1785,1784,1785,1784-11-02,1785-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1784-1785 title-page range.
1785-1786.pdf,multi_year,1785-1786,1785,1786,1785-11-02,1786-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1785-1786 title-page range.
1786-1787.pdf,multi_year,1786-1787,1786,1787,1786-11-02,1787-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1786-1787 title-page range.
1787-1788.pdf,multi_year,1787-1788,1787,1788,1787-11-02,1788-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1787-1788 title-page range.
1788-1789.pdf,multi_year,1788-1789,1788,1789,1788-11-02,1789-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1788-1789 title-page range.
1789-1790.pdf,multi_year,1789-1790,1789,1790,1789-11-02,1790-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1789-1790 title-page range.
1790-1791.pdf,multi_year,1790-1791,1790,1791,1790-11-02,1791-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1790-1791 title-page range.
1791-1792.pdf,multi_year,1791-1792,1791,1792,1791-11-02,1792-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1791-1792 title-page range.
1792-1793.pdf,multi_year,1792-1793,1792,1793,1792-11-02,1793-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1792-1793 title-page range.
1793-1794.pdf,multi_year,1793-1794,1793,1794,1793-11-02,1794-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1793-1794 title-page range.
1794-1795.pdf,multi_year,1794-1795,1794,1795,1794-11-02,1795-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1794-1795 title-page range.
1795-1796.pdf,multi_year,1795-1796,1795,1796,1795-11-02,1796-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1795-1796 title-page range.
1796-1797.pdf,multi_year,1796-1797,1796,1797,1796-11-02,1797-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1796-1797 title-page range.
1797-1798.pdf,multi_year,1797-1798,1797,1798,1797-11-02,1798-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1797-1798 title-page range.
1798-1799.pdf,multi_year,1798-1799,1798,1799,1798-11-02,1799-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1798-1799 title-page range.
1799-1800.pdf,multi_year,1799-1800,1799,1800,1799-11-02,1800-11-02,title-page accounting year range (approx. 2 Nov to same day next year),visual title-page audit of multi-year volume,high,no,,Visual audit supports a 1799-1800 title-page range.
1800.pdf,single_year,1800,1800,1800,1800-11-02,1801-11-02,single-year file appears to be an accounting year beginning in the label year and ending in the next year,visual title-page formula found on later page (not page 1),high,recommended,medium,"Page 3 shows a title formula approximately: a secundo die Novembris A.D. 1800 ad eundem diem revolutum A.D. 1801."
1801.pdf,single_year,1801,1801,1801,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1802.pdf,single_year,1802,1802,1802,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1803.pdf,single_year,1803,1803,1803,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1804.pdf,single_year,1804,1804,1804,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1805.pdf,single_year,1805,1805,1805,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
