year,competitive_examinations,lectures_teaching,reform_modernization,scholarships_prizes,scientific_infrastructure,scientific_professorships,era
1700,0.0,4.013807497792406e-05,0.0,0.0,0.0,0.002809665248454684,pre_industrial
1701,0.0,0.00013116474291710389,0.0,0.0,0.0,0.0,pre_industrial
1702,0.00502729100833094,7.181844297615628e-05,0.0,0.0,0.0,0.0,pre_industrial
1703,0.0,7.767593599502873e-05,0.0,0.0,0.0,0.0,pre_industrial
1704,0.0,7.443799315170463e-05,0.0,0.0,0.0,0.0,pre_industrial
1705,0.0,7.07513796519032e-05,0.00990519315126645,0.0,0.0,0.0,pre_industrial
1706,0.0,0.00011345586566825505,0.0,0.0,0.0,0.0,pre_industrial
1707,0.0,0.011385658914728682,0.0,0.0,0.0,0.0,pre_industrial
1708,0.0,0.017845060893098782,0.0,0.017760487144790258,0.0,0.0,pre_industrial
1709,0.0,0.005832101199277148,0.0,0.0,0.0,0.0,pre_industrial
1710,0.0,0.016213308744429077,0.0,0.0,0.0,0.0,pre_industrial
1711,0.0074121135112240576,0.00010588733587462939,0.0,0.0,0.0,0.0,pre_industrial
1712,0.0,0.00023843586075345734,0.0,0.0,0.0,0.0,pre_industrial
1713,0.0,0.00018102824040550327,0.0,0.0,0.0,0.0,pre_industrial
1714,0.0,0.0003180661577608143,0.0,0.0,0.0,0.0,pre_industrial
1715,0.0,0.0002862049227246709,0.0,0.0,0.0,0.0,pre_industrial
1716,0.0,7.642922653622745e-05,0.005350045857535922,0.0,0.0,0.0,pre_industrial
1717,0.0,6.937699458859442e-05,0.0,0.0,0.0,0.0,pre_industrial
1718,0.0,7.40521327014218e-05,0.0,0.01555094786729858,0.0,0.0,pre_industrial
1719,0.0,0.011450381679389313,0.0,0.0,0.0,0.0,pre_industrial
1720,0.0,7.32922896511287e-05,0.0,0.005130460275579009,0.0,0.0,pre_industrial
1721,0.0,0.0028744809964867456,0.0,0.005589268604279783,0.0,0.0,pre_industrial
1722,0.0,0.0028744809964867456,0.0,0.005589268604279783,0.0,0.0,pre_industrial
1723,0.005210659520619324,7.443799315170463e-05,0.005210659520619324,0.0,0.0,0.0,pre_industrial
1724,0.0,8.120838070488874e-05,0.005684586649342212,0.0,0.0,0.0,pre_industrial
1725,0.0,9.790483649892304e-05,0.0,0.006853338554924614,0.0,0.0,pre_industrial
1726,0.0,7.291818579553741e-05,0.0,0.0,0.0,0.0,pre_industrial
1727,0.0,7.940289026520565e-05,0.0,0.005558202318564396,0.0,0.0,pre_industrial
1728,0.0,7.767593599502873e-05,0.0,0.005437315519652012,0.0,0.0,pre_industrial
1729,0.0,7.60225026607876e-05,0.005321575186255131,0.0,0.0,0.0,pre_industrial
1730,0.0,0.0038725864514017674,0.0,0.01145412894076579,0.0,0.0,pre_industrial
1731,0.0,8.507742045261188e-05,0.0,0.0,0.0,0.0,pre_industrial
1732,0.0,0.0070971611355457815,0.0069972011195521796,0.0,0.0,0.0,pre_industrial
1733,0.0,8.558712769599452e-05,0.0,0.017973296816158852,0.0,0.0,pre_industrial
1734,0.0,0.005700979604946202,0.0,0.0056206841175525935,0.0,0.0,pre_industrial
1735,0.0,9.926543577526305e-05,0.013897161008536827,0.0,0.0,0.0,pre_industrial
1736,0.00725088046405635,0.00010358400662937643,0.0,0.0145017609281127,0.0,0.0,pre_industrial
1737,0.0,0.01192489851150203,0.0,0.011840324763193504,0.0,0.0,pre_industrial
1738,0.0,0.00010283833813245579,0.0,0.007198683669271904,0.0,0.0,pre_industrial
1739,0.037520100053600146,0.006342683580489548,0.0,0.01876005002680007,0.0,0.0,pre_industrial
1740,0.0,0.005934470076897359,0.0,0.005850885991307255,0.0,0.0,pre_industrial
1741,0.0,0.006382596188421431,0.006292700467457749,0.0,0.0,0.0,pre_industrial
1742,0.0,8.715356458079135e-05,0.0,0.01220149904131079,0.0,0.0,pre_industrial
1743,0.0,0.006342683580489548,0.0,0.0,0.0,0.0,pre_industrial
1744,0.0,0.005969396334286194,0.0,0.005885320329577938,0.0,0.0,pre_industrial
1745,0.0,8.167265599477295e-05,0.0,0.005717085919634107,0.0,0.0,pre_industrial
1746,0.0,7.110352673492605e-05,0.0,0.014931740614334471,0.0,0.0,pre_industrial
1747,0.0,0.010893077873918418,0.005407911001236094,0.005407911001236094,0.0,0.0,pre_industrial
1748,0.0,0.010893077873918418,0.0,0.0,0.0,0.0,pre_industrial
1749,0.0,0.005575624312863201,0.0,0.0,0.0,0.0,pre_industrial
1750,0.011566424322538004,0.01164904163912756,0.0,0.023132848645076007,0.0,0.0,pre_industrial
1751,0.0,0.012214137214137215,0.006063756063756064,0.0,0.0,0.0,pre_industrial
1752,0.0,0.005765795030047101,0.0,0.005684586649342212,0.0,0.0,pre_industrial
1753,0.0,9.104151493080845e-05,0.0,0.012745812090313183,0.0,0.0,pre_industrial
1754,0.0,7.60225026607876e-05,0.0,0.005321575186255131,0.0,0.0,pre_industrial
1755,0.0,0.010834485938220378,0.0,0.010757645612417396,0.005378822806208698,0.0,pre_industrial
1756,0.0,0.007249336328364305,0.0,0.0,0.0,0.007147232999795794,pre_industrial
1757,0.0,0.03958999435772052,0.0,0.0,0.0,0.0,pre_industrial
1758,0.0,7.767593599502873e-05,0.0,0.0,0.0,0.0,pre_industrial
1759,0.0,0.003742592785112797,0.01091589562324566,0.00363863187441522,0.0,0.0,pre_industrial
1760,0.0,0.003742592785112797,0.01091589562324566,0.00363863187441522,0.0,0.0,pre_industrial
1761,0.0,0.017533654645172012,0.0,0.0,0.0,0.0,pre_industrial
1762,0.0,8.933357155619081e-05,0.0,0.0,0.0,0.0,pre_industrial
1763,0.0,0.02510273360728962,0.006253350008933357,0.0,0.0,0.0,pre_industrial
1764,0.0,9.16254352208173e-05,0.0,0.0,0.0,0.0,pre_industrial
1765,0.0,0.00011717834544176236,0.06561987344738693,0.024607452542770098,0.0,0.0,pre_industrial
1766,0.0,7.642922653622745e-05,0.0,0.005350045857535922,0.0,0.0,pre_industrial
1767,0.0,0.015244961779013202,0.0,0.0015201528839471855,0.0,0.0,pre_industrial
1768,0.0,0.01694234784005139,0.0,0.0028103420587762967,0.0,0.0,pre_industrial
1769,0.0,0.00746268656716418,0.0,0.0,0.0,0.0,pre_industrial
1770,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,pre_industrial
1771,0.0,0.0029585798816568047,0.0029585798816568047,0.0029585798816568047,0.0,0.0,pre_industrial
1772,0.0,0.0226628895184136,0.0028328611898017,0.0028328611898017,0.0,0.0,pre_industrial
1773,0.0,0.031746031746031744,0.0,0.0026455026455026454,0.0,0.0,pre_industrial
1774,0.0,0.009779951100244499,0.0024449877750611247,0.0024449877750611247,0.0,0.0,pre_industrial
1775,0.0,0.005449591280653951,0.0027247956403269754,0.0027247956403269754,0.0,0.0,pre_industrial
1776,0.0,0.0056925996204933585,0.0018975332068311196,0.003795066413662239,0.0,0.0,pre_industrial
1777,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0,0.0,pre_industrial
1778,0.0,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.0,0.0,pre_industrial
1779,0.0,0.006472491909385114,0.006472491909385114,0.00970873786407767,0.0,0.0,pre_industrial
1780,0.0,0.0,0.0,0.008875739644970414,0.0,0.0,transition
1781,0.0,0.002785515320334262,0.0,0.011142061281337047,0.0,0.0,transition
1782,0.0,0.008152173913043478,0.0,0.005434782608695652,0.0,0.0,transition
1783,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,transition
1784,0.0,0.0,0.0,0.0,0.0,0.0,transition
1785,0.0,0.014888337468982629,0.0,0.004962779156327543,0.0,0.0,transition
1786,0.0,0.01569506726457399,0.0,0.006726457399103139,0.0,0.0,transition
1787,0.0024390243902439024,0.007317073170731707,0.0,0.00975609756097561,0.0,0.0,transition
1788,0.002544529262086514,0.012722646310432571,0.0,0.0076335877862595426,0.0,0.0,transition
1789,0.0,0.013986013986013988,0.0,0.002331002331002331,0.0,0.0,transition
1790,0.0,0.016018306636155607,0.0,0.002288329519450801,0.0,0.0,transition
1791,0.0035460992907801418,0.02127659574468085,0.0,0.0,0.0,0.0,transition
1792,0.0045662100456621,0.0136986301369863,0.0,0.0,0.0,0.0,transition
1793,0.0,0.01440922190201729,0.005763688760806916,0.0,0.0,0.0,transition
1794,0.0,0.013123359580052493,0.005249343832020997,0.005249343832020997,0.0,0.0,transition
1795,0.0,0.002544529262086514,0.002544529262086514,0.010178117048346057,0.0,0.0,transition
1796,0.0,0.0,0.004987531172069825,0.012468827930174564,0.0,0.0,transition
1797,0.0,0.015789473684210527,0.002631578947368421,0.01842105263157895,0.0,0.0,transition
1798,0.0,0.015151515151515152,0.0025252525252525255,0.010101010101010102,0.0,0.0,transition
1799,0.0028653295128939827,0.0,0.0028653295128939827,0.0028653295128939827,0.0,0.0,transition
1800,0.002028397565922921,0.0,0.0,0.002028397565922921,0.0,0.0,transition
1801,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,transition
1802,0.0,0.0,0.0,0.0,0.0,0.0,transition
1803,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,transition
1804,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,transition
1805,0.0,0.0043859649122807015,0.0,0.017543859649122806,0.0,0.0,transition
1806,0.0,0.0,0.0,0.0,0.0,0.0,transition
1807,0.0,0.0,0.0,0.0,0.0,0.0,transition
1808,0.0,0.0,0.0,0.0,0.0,0.0,transition
1809,0.0,0.0028169014084507044,0.0028169014084507044,0.005633802816901409,0.0,0.005633802816901409,transition
1810,0.0,0.0,0.0,0.0,0.0,0.0,transition
1811,0.0,0.0,0.0,0.00966183574879227,0.0,0.004830917874396135,transition
1812,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,transition
1813,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,transition
1814,0.0,0.0,0.0,0.0,0.0,0.0,transition
1815,0.0,0.0,0.0,0.0,0.0,0.0,transition
1816,0.0,0.0,0.0,0.0,0.0,0.0,transition
1817,0.0,0.0029411764705882353,0.0,0.0058823529411764705,0.0,0.0,transition
1818,0.0,0.0,0.0,0.0,0.0,0.0,transition
1819,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,transition
1820,0.0,0.0,0.0,0.0,0.0,0.0,early_industrial
1821,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,early_industrial
1822,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,early_industrial
1823,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,early_industrial
1824,0.004132231404958678,0.0,0.004132231404958678,0.0,0.0,0.0,early_industrial
1825,0.0,0.0,0.0,0.0,0.0,0.0,early_industrial
1826,0.0,0.0,0.0,0.0,0.0,0.0,early_industrial
1827,0.0,0.0043859649122807015,0.0,0.0,0.008771929824561403,0.0,early_industrial
1828,0.0,0.0,0.0,0.0211864406779661,0.0,0.0,early_industrial
1829,0.0,0.0,0.0,0.0,0.0,0.0,early_industrial
1830,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,early_industrial
1831,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,early_industrial
1832,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,early_industrial
1833,0.0,0.0,0.0,0.013215859030837006,0.0,0.0,early_industrial
1834,0.007462686567164179,0.0,0.0,0.007462686567164179,0.0,0.0,early_industrial
1835,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,early_industrial
1836,0.0,0.0,0.016597510373443983,0.03734439834024896,0.0,0.0,early_industrial
1837,0.0,0.0,0.0,0.038314176245210725,0.0,0.0,early_industrial
1838,0.0,0.0,0.012658227848101266,0.03164556962025317,0.0,0.0,early_industrial
1839,0.0,0.0,0.0,0.032388663967611336,0.0,0.0,early_industrial
1840,0.0,0.0,0.010050251256281407,0.035175879396984924,0.0,0.0,early_industrial
1841,0.0,0.0,0.004347826086956522,0.034782608695652174,0.0,0.0,early_industrial
1842,0.0,0.0,0.005,0.030000000000000002,0.0,0.0,early_industrial
1843,0.0,0.0,0.003289473684210526,0.042763157894736836,0.0,0.0,early_industrial
1844,0.0,0.0,0.0,0.04522613065326633,0.0,0.0,early_industrial
1845,0.0,0.0044444444444444444,0.0,0.022222222222222223,0.0,0.0,early_industrial
1846,0.0,0.0,0.0,0.03765690376569038,0.0,0.0,early_industrial
1847,0.0,0.00411522633744856,0.0,0.04526748971193416,0.0,0.0,early_industrial
1848,0.0,0.0,0.0,0.019867549668874173,0.0,0.0,early_industrial
1849,0.0,0.0,0.0,0.008368200836820083,0.0,0.0,early_industrial
1850,0.0,0.0,0.007518796992481203,0.03007518796992481,0.0,0.0,early_industrial
1851,0.0,0.0,0.0,0.009950248756218905,0.004975124378109453,0.0,early_industrial
1852,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,early_industrial
1853,0.0,0.003937007874015748,0.003937007874015748,0.023622047244094488,0.0,0.0,early_industrial
1854,0.0,0.0,0.0,0.05291005291005291,0.0,0.0,early_industrial
1855,0.0,0.0,0.011029411764705881,0.022058823529411766,0.003676470588235294,0.0,early_industrial
1856,0.0,0.0,0.017467248908296942,0.034934497816593885,0.0,0.0,early_industrial
1857,0.0,0.0058823529411764705,0.011764705882352941,0.011764705882352941,0.0,0.0,early_industrial
1858,0.004807692307692308,0.0,0.019230769230769232,0.028846153846153848,0.0,0.0,early_industrial
1859,0.0,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,early_industrial
1860,0.0,0.0,0.015873015873015872,0.010582010582010581,0.0,0.0,late_industrial
1861,0.009302325581395349,0.0,0.037209302325581395,0.05116279069767442,0.0,0.0,late_industrial
1862,0.0,0.0,0.015706806282722512,0.005235602094240838,0.005235602094240838,0.0,late_industrial
1863,0.004694835680751174,0.0,0.03286384976525822,0.11737089201877934,0.0,0.004694835680751174,late_industrial
1864,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.08372093023255814,0.0,0.0,late_industrial
1865,0.0111731843575419,0.0,0.01675977653631285,0.08938547486033518,0.0,0.00558659217877095,late_industrial
1866,0.004807692307692308,0.0,0.038461538461538464,0.07211538461538462,0.0,0.0,late_industrial
1867,0.014925373134328358,0.0,0.01990049751243781,0.01990049751243781,0.0,0.0,late_industrial
1868,0.0,0.019704433497536946,0.009852216748768473,0.054187192118226604,0.0,0.0,late_industrial
1869,0.0,0.004405286343612335,0.030837004405286344,0.022026431718061675,0.0,0.0,late_industrial
1870,0.008771929824561403,0.0043859649122807015,0.05263157894736842,0.039473684210526314,0.0,0.0,late_industrial
1871,0.00823045267489712,0.00411522633744856,0.0205761316872428,0.01234567901234568,0.0,0.01234567901234568,late_industrial
1872,0.008968609865470852,0.004484304932735426,0.04035874439461884,0.017937219730941704,0.0,0.0,late_industrial
1873,0.002183406113537118,0.002183406113537118,0.034934497816593885,0.017467248908296942,0.004366812227074236,0.0,late_industrial
1876,0.0,0.0,0.04597701149425287,0.01532567049808429,0.0,0.0,late_industrial
1877,0.0,0.0,0.03463203463203463,0.03463203463203463,0.0,0.0,late_industrial
1878,0.016736401673640166,0.012552301255230124,0.03347280334728033,0.029288702928870293,0.0,0.0,late_industrial
1879,0.004310344827586207,0.0,0.03879310344827586,0.034482758620689655,0.0,0.0,late_industrial
1880,0.0,0.004149377593360996,0.029045643153526972,0.012448132780082988,0.004149377593360996,0.0,late_industrial
1881,0.0,0.0,0.04113924050632912,0.028481012658227847,0.0031645569620253164,0.0,late_industrial
1882,0.0,0.0034965034965034965,0.05944055944055945,0.03146853146853147,0.006993006993006993,0.0,late_industrial
1883,0.0,0.047058823529411764,0.03529411764705882,0.33529411764705885,0.0058823529411764705,0.011764705882352941,late_industrial
1884,0.0,0.020134228187919462,0.0738255033557047,0.23489932885906042,0.0,0.013422818791946308,late_industrial
1885,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,late_industrial
1886,0.0,0.0,0.0684931506849315,0.136986301369863,0.0,0.0136986301369863,late_industrial
1889,0.0,0.017341040462427744,0.017341040462427744,0.2890173410404624,0.0,0.005780346820809248,late_industrial
1891,0.0,0.04113924050632912,0.04113924050632912,0.22468354430379747,0.0,0.00949367088607595,late_industrial
1892,0.0,0.030303030303030304,0.050505050505050504,0.24242424242424243,0.0,0.010101010101010102,late_industrial
1893,0.0,0.02768166089965398,0.02768166089965398,0.22837370242214533,0.0,0.006920415224913495,late_industrial
1894,0.0,0.0,0.01098901098901099,0.1098901098901099,0.0,0.0,late_industrial
1895,0.0,0.0,0.0,0.12643678160919541,0.0,0.0,late_industrial
1896,0.0,0.0,0.06593406593406594,0.12087912087912088,0.0,0.0,late_industrial
1897,0.0,0.0,0.011494252873563218,0.12643678160919541,0.0,0.0,late_industrial
1898,0.0,0.0,0.011363636363636364,0.10227272727272727,0.0,0.0,late_industrial
1899,0.0,0.0,0.03488372093023256,0.18604651162790697,0.0,0.0,late_industrial
1900,0.0,0.011627906976744186,0.023255813953488372,0.17441860465116277,0.0,0.0,late_industrial
