decade_start,pearson_r,p_value
1700,-0.6299661902044202,0.05092105647213476
1701,-0.5901436129778554,0.0724977849319564
1702,-0.5792552239987494,0.07928764904669464
1703,-0.5455035929610614,0.10289511309915192
1704,-0.43941985324030347,0.20385860452051763
1705,-0.33148945703611454,0.34943221948373776
1706,-0.5450613230826317,0.10323076119991917
1707,-0.3993726147088434,0.2528861590830537
1708,-0.48115482321910896,0.15916256927142047
1709,-0.5234287818780387,0.12049926524888371
1710,-0.6169844242558526,0.05740808024929566
1711,-0.5798128882836204,0.07893029360196514
1712,-0.5741994634806155,0.08257517451382052
1713,-0.5298614368473529,0.11518899620954476
1714,-0.22552916287521493,0.5309916426094136
1715,-0.5625804322791855,0.09045968008001358
1716,-0.5104265313861235,0.13169130408521001
1717,-0.2949921923974494,0.4079872687875783
1718,-0.4187493899645354,0.22841597141427816
1719,-0.43177130599592306,0.212758687910635
1720,-0.3352572622777786,0.34364408039894173
1721,-0.6544960310286094,0.04003290130651041
1722,-0.7414115455894661,0.014121709172587382
1723,-0.8267021226927425,0.003183142053487526
1724,-0.8332623068153118,0.002750821652444715
1725,-0.8295407588415974,0.0029904962497435635
1726,-0.8332809858961998,0.002749654809470326
1727,-0.8096572867662839,0.004532276464166769
1728,-0.4850624798493712,0.15531149741601874
1729,-0.40819514596547923,0.24157125355093906
1730,-0.4730155250010362,0.16736695688166256
1731,-0.6501593958374259,0.041831385855903375
1732,-0.6390115263763828,0.046701704691059484
1733,-0.6231275310340942,0.054274108973925185
1734,-0.645544137063616,0.043804183912220615
1735,-0.6747489945591477,0.032321056181027916
1736,-0.8122855992594685,0.004301624705574826
1737,-0.8041361237582484,0.005045384681950662
1738,-0.9514215078788678,2.2972564309782465e-05
1739,-0.9463303434660304,3.4012986828623916e-05
1740,-0.9296776684033835,9.822513446421825e-05
1741,-0.8907669218650922,0.0005448790565180275
1742,-0.8960861408638194,0.0004492226185892546
1743,-0.8952143423137985,0.0004639837460136668
1744,-0.7461619197425958,0.013194916680166743
1745,-0.701694944271542,0.02371793956454909
1746,-0.40383816746248474,0.24712296845831244
1747,-0.5407736479827436,0.10652066923649772
1748,-0.6097742077989785,0.06123609723640096
1749,-0.29507603226138207,0.4078477134156441
1750,-0.3709200811785741,0.2913311675990769
1751,-0.4273049822586353,0.21805733609174116
1752,-0.45108039131316224,0.19071280085647804
1753,-0.45967887541022834,0.18134622318541108
1754,-0.5045952242010261,0.13691150478943373
1755,-0.4353569004094834,0.20855904123159355
1756,-0.39705367537957237,0.2559080968100338
1757,-0.48541399227176407,0.15496786355791864
1758,-0.5928664935165323,0.07086111083872956
1759,-0.919228366027565,0.0001687659226743154
1760,-0.9117432636963814,0.00023835023814054693
1761,-0.8888979534616674,0.0005817774133610715
1762,-0.8693493629215915,0.0010855682962278694
1763,-0.9112240779409607,0.0002438514201895856
1764,-0.9279880669320967,0.00010778626036035218
1765,-0.9074816727117241,0.00028631129025250446
1766,-0.9316219656820284,8.801479138573443e-05
1767,-0.9045927514698051,0.00032262187686900675
1768,-0.8870701780613738,0.0006195980767886173
1769,-0.8357444794041631,0.0025988645900824415
1770,-0.80371135395928,0.005086502647119813
1771,-0.7421154713556055,0.013981590572460916
1772,-0.6587238165097438,0.03833038244656648
1773,-0.5037852815694439,0.13764645149332405
1774,-0.13521930994537457,0.7095570280181198
1775,-0.10372471988971445,0.7755276095523802
1776,-0.1488324788206881,0.681545368055017
1777,-0.4201700334624737,0.22667697200207887
1778,-0.4801030214337929,0.16020886382937438
1779,-0.5850793141338742,0.07560681224537755
1780,-0.6785374754070727,0.03100040589537827
1781,-0.782382831679087,0.007474682021794246
1782,-0.9012465028891252,0.00036878248050385503
1783,-0.8454461046533983,0.002062485933553138
1784,-0.7964789126613834,0.005823873495013301
1785,-0.7464602413900391,0.01313817499324903
1786,-0.7852526932325139,0.007114656787852421
1787,-0.8093284078187786,0.004561747054220675
1788,-0.7476546800599517,0.012912698886705147
1789,-0.25615084767073004,0.47501034079011506
1790,-0.0001762427087634577,0.9996144690865549
1791,-0.19448938999030332,0.590285463642076
1792,-0.4500345944012873,0.19187095676037547
1793,-0.9584240948642943,1.2431136601463133e-05
1794,-0.9497085001178927,2.6333132480995463e-05
1795,-0.9484033423988576,2.912844786595002e-05
1796,-0.8301474867293525,0.002950434844813453
1797,-0.8201513768713746,0.003661536267626774
1798,-0.7720130553165603,0.008883428504152153
1799,-0.7677631934651229,0.009511487775833355
1800,-0.8047527852200992,0.00498611445735103
1801,-0.8340215766700021,0.002703678240124193
1802,-0.846392026786249,0.0020148766966282144
1803,-0.8688255571574909,0.0011023544939770173
1804,-0.8834796446512105,0.0006990846218836671
1805,-0.9057608789009562,0.0003075557431271239
1806,-0.8389282220273911,0.0024129324705210826
1807,-0.6333311145520518,0.049322994999956925
1808,-0.5630104596811165,0.09015962246073848
1809,-0.7802052665958503,0.0077563353050185
1810,-0.7829792781227978,0.007398818367564258
1811,-0.5673674249568855,0.08715536691643783
1812,-0.5764138482337351,0.08112465488162555
1813,-0.6362744292286218,0.047952851831740965
1814,-0.6699904008391997,0.034033380668878274
1815,-0.6505786992112325,0.04165516824371105
1816,-0.631271448400131,0.05029713972826176
1817,-0.648434991784251,0.0425613518838029
1818,-0.571304233489325,0.08449673301618627
1819,-0.6589994634737757,0.03822110677836842
1820,-0.5632916108315091,0.0899637899925473
1821,-0.6201478600625417,0.05577968897645124
1822,-0.3980979196963144,0.25454482173472104
1823,-0.43545138971988817,0.20844902256291387
1824,-0.48740495797797934,0.15303019996055062
1825,-0.5149312084575084,0.12774401487192724
1826,-0.699359113852786,0.024392803472978675
1827,-0.492771475209169,0.14788072721962509
1828,-0.49124776193193814,0.1493319455062107
1829,-0.4046745578794726,0.24605175867819834
1830,-0.41874818783742884,0.22841744612410966
1831,-0.36599765941838625,0.2982818255714139
1832,-0.4727988292448453,0.16758876932824474
1833,-0.3364242211531701,0.34186135571099563
1834,-0.30659435588635814,0.3888922975938301
1835,-0.2849447245223003,0.4248748447081496
1836,-0.24932533308153537,0.48725872826276384
1837,-0.23804599345447494,0.5077920703020776
1838,-0.17881855774561814,0.6211042000304403
1839,-0.03821948167443878,0.9165169012393054
1840,-0.0029184230461666294,0.9936160039604224
1841,-0.08458527181126024,0.8162878749305298
1842,-0.06573158270941197,0.8568318095661122
1843,-0.027719182170854423,0.939410857160917
1844,-0.15084618992915577,0.6774304676825642
1845,-0.1345208252370426,0.7110030914843269
1846,0.15719633030893865,0.6645049747224449
1847,-0.16377578117345368,0.6511962354483778
1848,-0.15080760191927786,0.6775092482569703
1849,-0.30878043612974504,0.385343899346201
1850,0.01936870916655206,0.9576468397388278
1851,-0.0019172211190489619,0.9958060942177968
1852,0.11946398737879736,0.7423702725742101
1853,-0.07536255939629316,0.8360775149020621
1854,-0.16698020699960128,0.6447461242688488
1855,-0.2262193744044294,0.5297013074657433
1856,-0.215577482241155,0.5497357603412771
1857,-0.23963091262931585,0.5048851741699063
1858,-0.2969610313501994,0.40471604147559026
1859,-0.34368767299188874,0.3308718493764433
1860,-0.843773152100473,0.00214866998553302
1861,-0.8308495256206392,0.0029045637272633465
1862,-0.8282483095101512,0.0030771373049553056
1863,-0.8924505667697125,0.0005131324710128704
1864,-0.8589835192828178,0.0014541426631439964
1865,-0.8426434976459001,0.004347634335116474
1866,-0.8705575675010787,0.004909368076310301
1867,-0.42117927306958536,0.29871103198674487
1868,-0.5486601808461484,0.15907035008323964
1869,-0.5904827164673955,0.12327978406617456
1870,-0.6042582210485089,0.11259578886609677
1871,-0.5503119154923752,0.1575611968351576
1872,-0.49543405303162247,0.21187618435912764
1873,-0.4813653617261508,0.22717115565510101
1874,-0.48412984992069513,0.22412217119573255
1875,-0.42782038015771723,0.2506787803929919
1876,-0.4811515049938575,0.159165863633691
1877,-0.7506088031079251,0.01236670191076925
1878,-0.6673059377407089,0.04956821033924545
1879,-0.7434940291418952,0.03449171572173754
1880,-0.7777956939942476,0.0230603469935015
1881,-0.8757610087515817,0.009762560138223901
1882,-0.897660252321375,0.006085963350477087
1883,-0.8208668210775597,0.023626085113550965
1884,-0.8129026122751282,0.02622074148782545
1885,-0.8596819743850372,0.013115511620513868
1886,-0.8508051144710781,0.015212973042888272
1887,-0.9511593760522877,0.0009861613699453545
1888,-0.4976003647447158,0.20957020849738184
1889,-0.5514281785426629,0.12379796005802607
1890,-0.5433738151896719,0.1305332277141952
