year,era,cluster,method,silhouette
1700,pre_1760,0,tfidf_svd,0.004468741354436376
1701,pre_1760,0,tfidf_svd,0.004468741354436376
1702,pre_1760,0,tfidf_svd,0.004468741354436376
1703,pre_1760,0,tfidf_svd,0.004468741354436376
1704,pre_1760,0,tfidf_svd,0.004468741354436376
1705,pre_1760,0,tfidf_svd,0.004468741354436376
1706,pre_1760,0,tfidf_svd,0.004468741354436376
1707,pre_1760,0,tfidf_svd,0.004468741354436376
1708,pre_1760,0,tfidf_svd,0.004468741354436376
1709,pre_1760,0,tfidf_svd,0.004468741354436376
1710,pre_1760,0,tfidf_svd,0.004468741354436376
1711,pre_1760,0,tfidf_svd,0.004468741354436376
1712,pre_1760,0,tfidf_svd,0.004468741354436376
1713,pre_1760,0,tfidf_svd,0.004468741354436376
1714,pre_1760,0,tfidf_svd,0.004468741354436376
1715,pre_1760,0,tfidf_svd,0.004468741354436376
1716,pre_1760,0,tfidf_svd,0.004468741354436376
1717,pre_1760,0,tfidf_svd,0.004468741354436376
1718,pre_1760,0,tfidf_svd,0.004468741354436376
1719,pre_1760,0,tfidf_svd,0.004468741354436376
1720,pre_1760,0,tfidf_svd,0.004468741354436376
1721,pre_1760,0,tfidf_svd,0.004468741354436376
1722,pre_1760,0,tfidf_svd,0.004468741354436376
1723,pre_1760,0,tfidf_svd,0.004468741354436376
1724,pre_1760,0,tfidf_svd,0.004468741354436376
1725,pre_1760,0,tfidf_svd,0.004468741354436376
1726,pre_1760,0,tfidf_svd,0.004468741354436376
1727,pre_1760,0,tfidf_svd,0.004468741354436376
1728,pre_1760,0,tfidf_svd,0.004468741354436376
1729,pre_1760,0,tfidf_svd,0.004468741354436376
1730,pre_1760,0,tfidf_svd,0.004468741354436376
1731,pre_1760,0,tfidf_svd,0.004468741354436376
1732,pre_1760,0,tfidf_svd,0.004468741354436376
1733,pre_1760,0,tfidf_svd,0.004468741354436376
1734,pre_1760,0,tfidf_svd,0.004468741354436376
1735,pre_1760,0,tfidf_svd,0.004468741354436376
1736,pre_1760,0,tfidf_svd,0.004468741354436376
1737,pre_1760,0,tfidf_svd,0.004468741354436376
1738,pre_1760,0,tfidf_svd,0.004468741354436376
1739,pre_1760,0,tfidf_svd,0.004468741354436376
1740,pre_1760,0,tfidf_svd,0.004468741354436376
1741,pre_1760,0,tfidf_svd,0.004468741354436376
1742,pre_1760,0,tfidf_svd,0.004468741354436376
1743,pre_1760,0,tfidf_svd,0.004468741354436376
1744,pre_1760,0,tfidf_svd,0.004468741354436376
1745,pre_1760,0,tfidf_svd,0.004468741354436376
1746,pre_1760,0,tfidf_svd,0.004468741354436376
1747,pre_1760,0,tfidf_svd,0.004468741354436376
1748,pre_1760,0,tfidf_svd,0.004468741354436376
1749,pre_1760,0,tfidf_svd,0.004468741354436376
1750,pre_1760,0,tfidf_svd,0.004468741354436376
1751,pre_1760,0,tfidf_svd,0.004468741354436376
1752,pre_1760,0,tfidf_svd,0.004468741354436376
1753,pre_1760,0,tfidf_svd,0.004468741354436376
1754,pre_1760,0,tfidf_svd,0.004468741354436376
1755,pre_1760,0,tfidf_svd,0.004468741354436376
1756,pre_1760,0,tfidf_svd,0.004468741354436376
1757,pre_1760,0,tfidf_svd,0.004468741354436376
1758,pre_1760,0,tfidf_svd,0.004468741354436376
1759,pre_1760,0,tfidf_svd,0.004468741354436376
1760,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1761,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1762,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1763,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1764,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1765,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1766,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1767,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1768,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1769,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1770,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1771,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1772,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1773,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1774,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1775,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1776,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1777,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1778,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1779,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1780,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1781,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1782,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1783,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1784,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1785,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1786,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1787,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1788,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1789,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1790,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1791,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1792,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1793,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1794,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1795,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1796,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1797,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1798,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1799,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1800,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1801,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1802,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1803,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1804,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1805,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1806,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1807,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1808,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1809,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1810,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1811,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1812,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1813,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1814,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1815,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1816,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1817,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1818,industrial_1760_1840,1,tfidf_svd,0.004468741354436376
1819,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1820,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1821,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1822,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1823,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1824,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1825,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1826,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1827,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1828,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1829,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1830,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1831,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1832,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1833,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1834,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1835,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1836,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1837,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1838,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1839,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1840,industrial_1760_1840,0,tfidf_svd,0.004468741354436376
1841,post_1840,0,tfidf_svd,0.004468741354436376
1842,post_1840,0,tfidf_svd,0.004468741354436376
1843,post_1840,0,tfidf_svd,0.004468741354436376
1844,post_1840,0,tfidf_svd,0.004468741354436376
1845,post_1840,0,tfidf_svd,0.004468741354436376
1846,post_1840,0,tfidf_svd,0.004468741354436376
1847,post_1840,0,tfidf_svd,0.004468741354436376
1848,post_1840,0,tfidf_svd,0.004468741354436376
1849,post_1840,0,tfidf_svd,0.004468741354436376
1850,post_1840,0,tfidf_svd,0.004468741354436376
1851,post_1840,0,tfidf_svd,0.004468741354436376
1852,post_1840,0,tfidf_svd,0.004468741354436376
1853,post_1840,0,tfidf_svd,0.004468741354436376
1854,post_1840,0,tfidf_svd,0.004468741354436376
1855,post_1840,0,tfidf_svd,0.004468741354436376
1856,post_1840,0,tfidf_svd,0.004468741354436376
1857,post_1840,0,tfidf_svd,0.004468741354436376
1858,post_1840,0,tfidf_svd,0.004468741354436376
1859,post_1840,0,tfidf_svd,0.004468741354436376
1860,post_1840,0,tfidf_svd,0.004468741354436376
1861,post_1840,0,tfidf_svd,0.004468741354436376
1862,post_1840,0,tfidf_svd,0.004468741354436376
1863,post_1840,0,tfidf_svd,0.004468741354436376
1864,post_1840,0,tfidf_svd,0.004468741354436376
1865,post_1840,0,tfidf_svd,0.004468741354436376
1866,post_1840,0,tfidf_svd,0.004468741354436376
1867,post_1840,0,tfidf_svd,0.004468741354436376
1868,post_1840,0,tfidf_svd,0.004468741354436376
1869,post_1840,0,tfidf_svd,0.004468741354436376
1870,post_1840,0,tfidf_svd,0.004468741354436376
1871,post_1840,0,tfidf_svd,0.004468741354436376
1872,post_1840,0,tfidf_svd,0.004468741354436376
1873,post_1840,0,tfidf_svd,0.004468741354436376
1876,post_1840,0,tfidf_svd,0.004468741354436376
1877,post_1840,0,tfidf_svd,0.004468741354436376
1878,post_1840,0,tfidf_svd,0.004468741354436376
1879,post_1840,0,tfidf_svd,0.004468741354436376
1880,post_1840,0,tfidf_svd,0.004468741354436376
1881,post_1840,0,tfidf_svd,0.004468741354436376
1882,post_1840,0,tfidf_svd,0.004468741354436376
1883,post_1840,1,tfidf_svd,0.004468741354436376
1884,post_1840,1,tfidf_svd,0.004468741354436376
1885,post_1840,1,tfidf_svd,0.004468741354436376
1886,post_1840,1,tfidf_svd,0.004468741354436376
1889,post_1840,1,tfidf_svd,0.004468741354436376
1891,post_1840,1,tfidf_svd,0.004468741354436376
1892,post_1840,1,tfidf_svd,0.004468741354436376
1893,post_1840,1,tfidf_svd,0.004468741354436376
1894,post_1840,1,tfidf_svd,0.004468741354436376
1895,post_1840,1,tfidf_svd,0.004468741354436376
1896,post_1840,1,tfidf_svd,0.004468741354436376
1897,post_1840,1,tfidf_svd,0.004468741354436376
1898,post_1840,1,tfidf_svd,0.004468741354436376
1899,post_1840,1,tfidf_svd,0.004468741354436376
1900,post_1840,1,tfidf_svd,0.004468741354436376
