page,config,pipeline,row_count_score,type_count_score,header_text_score,axis1_score,axis2_match,axis2_similarity,axis2_fraction,axis2_score,amount_match_score,amount_similarity_score,fraction_match_score,combined_score,structurer_model,extractor_model,corrector_model
1700_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.85,0.6306,0.0,0.4935,0.7037,0.9654,0.5714,0.7557,0.7037,0.9654,0.5714,0.6246,gemini-flash,gemini-pro,gpt-5-mini
1704_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.641,0.5,0.7137,0.8889,0.9758,0.3333,0.8038,0.8889,0.9758,0.3333,0.7588,gemini-flash,gemini-pro,gpt-5-mini
1709_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9459,0.6667,0.0,0.5375,0.9167,0.9836,0.5556,0.8645,0.9167,0.9836,0.5556,0.701,gemini-flash,gemini-pro,gpt-5-mini
1713_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.96,1.0,1.0,0.8,0.98,gemini-flash,gemini-pro,gpt-5-mini
1719_2,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9722,0.451,1.0,0.8077,0.8,0.9863,0.0,0.6959,0.8,0.9863,0.0,0.7518,gemini-flash,gemini-pro,gpt-5-mini
1725_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9167,0.5758,1.0,0.8308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9154,gemini-flash,gemini-pro,gpt-5-mini
1731_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9583,0.8333,0.5,0.7639,0.9545,0.9948,1.0,0.9757,0.9545,0.9948,1.0,0.8698,gemini-flash,gemini-pro,gpt-5-mini
1744_5,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.7941,0.6538,1.0,0.816,0.8529,0.9981,0.5,0.8259,0.8529,0.9981,0.5,0.8209,gemini-flash,gemini-pro,gpt-5-mini
1753_4,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.6842,0.3593,1.0,0.6812,0.6944,0.942,0.6,0.7498,0.6944,0.942,0.6,0.7155,gemini-flash,gemini-pro,gpt-5-mini
1759-1760_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,0.7407,0.9721,0.0,0.662,0.7407,0.9721,0.0,0.831,gemini-flash,gemini-pro,gpt-5-mini
1767_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.6322,0.0,0.5441,0.8276,0.9818,0.7143,0.8512,0.8276,0.9818,0.7143,0.6976,gemini-flash,gemini-pro,gpt-5-mini
1774-1775_5,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.8182,0.6667,0.5,0.6616,0.95,0.9994,0.8,0.9348,0.95,0.9994,0.8,0.7982,gemini-flash,gemini-pro,gpt-5-mini
1783-1784_2,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.8182,0.7606,0.4,0.6596,0.7237,0.9486,1.0,0.8464,0.7237,0.9486,1.0,0.753,gemini-flash,gemini-pro,gpt-5-mini
1788-1789_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9643,0.8889,0.6667,0.8399,0.96,0.9997,1.0,0.9799,0.96,0.9997,1.0,0.9099,gemini-flash,gemini-pro,gpt-5-mini
1795-1796_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.963,0.6522,0.5,0.705,0.88,0.938,1.0,0.9214,0.88,0.938,1.0,0.8132,gemini-flash,gemini-pro,gpt-5-mini
1801_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,0.9444,1.0,0.9091,0.954,0.9444,1.0,0.9091,0.977,gemini-flash,gemini-pro,gpt-5-mini
1807_4,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9091,0.619,0.5,0.676,0.4444,0.7395,1.0,0.6441,0.4444,0.7395,1.0,0.6601,gemini-flash,gemini-pro,gpt-5-mini
1814_2,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.903,0.5,0.801,0.8696,0.9744,1.0,0.9271,0.8696,0.9744,1.0,0.864,gemini-flash,gemini-pro,gpt-5-mini
1819_5,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9167,0.7667,0.5,0.7278,0.7778,0.9106,0.8,0.8221,0.7778,0.9106,0.8,0.775,gemini-flash,gemini-pro,gpt-5-mini
1825_10,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,0.7692,0.9896,0.8889,0.8593,0.7692,0.9896,0.8889,0.9296,gemini-flash,gemini-pro,gpt-5-mini
1831_10,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9655,0.8889,0.3333,0.7292,0.9167,0.9963,0.9167,0.9406,0.9167,0.9963,0.9167,0.8349,gemini-flash,gemini-pro,gpt-5-mini
1838_9,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.8966,0.8,0.8,0.8322,0.875,0.9183,0.6667,0.8463,0.875,0.9183,0.6667,0.8393,gemini-flash,gemini-pro,gpt-5-mini
1844_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.92,0.8667,0.8,0.8622,0.9474,0.9809,1.0,0.9679,0.9474,0.9809,1.0,0.915,gemini-flash,gemini-pro,gpt-5-mini
1850_4,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.3333,0.0,0.4444,0.9394,0.9964,1.0,0.9686,0.9394,0.9964,1.0,0.7065,gemini-flash,gemini-pro,gpt-5-mini
1855_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9722,0.9899,1.0,0.9874,0.9706,1.0,1.0,0.9853,0.9706,1.0,1.0,0.9864,gemini-flash,gemini-pro,gpt-5-mini
1860_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.875,0.8556,0.6667,0.7991,0.7619,0.878,1.0,0.8444,0.7619,0.878,1.0,0.8217,gemini-flash,gemini-pro,gpt-5-mini
1865_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.7353,0.6237,1.0,0.7863,0.8438,0.9374,1.0,0.9031,0.8438,0.9374,1.0,0.8447,gemini-flash,gemini-pro,gpt-5-mini
1869_8,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.6275,1.0,0.8758,0.4857,0.9173,0.6667,0.6514,0.4857,0.9173,0.6667,0.7636,gemini-flash,gemini-pro,gpt-5-mini
1873_5,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.975,0.4569,0.2,0.544,0.8143,0.9627,0.5,0.7959,0.8143,0.9627,0.5,0.67,gemini-flash,gemini-pro,gpt-5-mini
1881_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9655,0.7212,0.2,0.6289,0.75,0.9253,0.0,0.6526,0.75,0.9253,0.0,0.6407,gemini-flash,gemini-pro,gpt-5-mini
1889_4,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9138,0.8413,0.8571,0.8707,0.9796,1.0,1.0,0.9898,0.9796,1.0,1.0,0.9303,gemini-flash,gemini-pro,gpt-5-mini
1895_2,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9167,0.7799,0.6667,0.7877,0.8167,0.8974,1.0,0.8775,0.8167,0.8974,1.0,0.8326,gemini-flash,gemini-pro,gpt-5-mini
1900_6,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.7,0.5333,0.3333,0.5222,0.7647,0.9789,1.0,0.876,0.7647,0.9789,1.0,0.6991,gemini-flash,gemini-pro,gpt-5-mini
