year,n_pages,n_data_rows,n_entry_rows,n_total_rows,amount_sum,amount_mean,amount_median,amount_p90,amount_max,era
1700,12,373.0,354.0,19.0,9035.933333333334,24.22502234137623,1.0916666666666668,34.19875000000002,901.071875,pre_1760
1701,5,185.0,173.0,12.0,11379.306250000001,61.50976351351352,1.0,32.680625,5909.033333333334,pre_1760
1702,6,208.0,197.0,11.0,6436.632291666667,30.945347556089743,1.6729166666666666,47.75500000000007,881.3895833333333,pre_1760
1703,6,192.0,182.0,10.0,3940.5666666666666,20.52378472222222,1.5130208333333333,31.815000000000012,546.0229166666667,pre_1760
1704,7,202.0,190.0,12.0,2719.0,13.46039603960396,1.125,20.151875,482.25416666666666,pre_1760
1705,7,218.0,200.0,18.0,4679.05,21.463532110091744,1.975,40.910833333333336,515.975,pre_1760
1706,7,194.0,181.0,13.0,4064.45,20.950773195876288,1.1947916666666667,29.879375000000007,576.1760416666666,pre_1760
1707,6,188.0,175.0,13.0,3585.1770833333335,19.070090868794328,1.2916666666666667,30.200000000000006,399.69166666666666,pre_1760
1708,7,177.0,167.0,10.0,2923.264583333333,16.515619114877587,1.75,36.28562500000003,449.8916666666667,pre_1760
1709,7,183.0,172.0,11.0,4767.389583333334,26.051309198542807,1.5333333333333334,58.0,599.90625,pre_1760
1710,7,198.0,184.0,14.0,6582.585416666667,33.245380892255895,1.9666666666666668,58.60000000000002,783.5083333333333,pre_1760
1711,7,210.0,200.0,10.0,4320.9875,20.576130952380954,2.0,35.41708333333333,577.3937500000001,pre_1760
1712,7,204.0,192.0,12.0,4854.989583333333,23.79896854575163,1.6666666666666665,43.100729166666675,566.1020833333333,pre_1760
1713,7,206.0,189.0,17.0,4039.110416666667,19.607332119741102,2.1479166666666667,37.14375,533.475,pre_1760
1714,8,219.0,203.0,16.0,4706.513541666666,21.49092941400304,1.5,41.984375,564.9052083333333,pre_1760
1715,7,208.0,191.0,17.0,5950.002083333333,28.60577924679487,2.0,51.35000000000011,588.0166666666667,pre_1760
1716,8,232.0,214.0,18.0,5660.671875,24.399447737068964,1.5,49.55208333333336,521.4958333333334,pre_1760
1717,7,222.0,204.0,18.0,4769.203125,21.48289695945946,1.41875,30.37833333333334,470.32708333333335,pre_1760
1718,7,202.0,191.0,11.0,3871.242708333333,19.164567863036304,1.6593749999999998,29.928333333333338,559.2354166666668,pre_1760
1719,6,181.0,174.0,7.0,1732.0874999999999,9.569544198895027,1.125,20.0,264.65,pre_1760
1720,7,200.0,193.0,7.0,2679.8625,13.3993125,1.4125,26.07520833333333,545.2666666666667,pre_1760
1721,13,186.5,177.0,9.5,3211.0671875,17.217518431635387,1.95,29.0,564.1791666666667,pre_1760
1722,13,186.5,177.0,9.5,3211.0671875,17.217518431635387,1.95,29.0,564.1791666666667,pre_1760
1723,7,202.0,190.0,12.0,3907.516666666667,19.34414191419142,1.4260416666666667,36.618750000000006,490.13958333333335,pre_1760
1724,7,183.0,174.0,9.0,3048.2385416666666,16.65704121129326,1.5,30.218750000000007,406.3916666666667,pre_1760
1725,6,154.0,144.0,10.0,3080.008333333333,20.00005411255411,1.0875,29.0,536.0875,pre_1760
1726,6,204.0,194.0,10.0,4605.43125,22.57564338235294,1.4166666666666667,42.8583333333334,578.5895833333333,pre_1760
1727,6,188.0,178.0,10.0,3439.5833333333335,18.295656028368796,0.7833333333333333,30.0,605.2979166666667,pre_1760
1728,6,191.0,182.0,9.0,3649.4864583333333,19.10725894415358,1.15,30.596875,669.4760416666667,pre_1760
1729,6,194.0,186.0,8.0,3347.670833333333,17.256035223367697,1.2125,31.558750000000025,478.39375,pre_1760
1730,9,263.0,260.0,3.0,4748.309375,18.054408269961975,1.0,34.96833333333338,746.4645833333334,pre_1760
1731,7,169.0,166.0,3.0,4727.39375,27.972744082840237,5.479166666666667,50.50000000000004,1079.6208333333332,pre_1760
1732,7,145.0,141.0,4.0,3118.10625,21.50418103448276,4.05,40.0,645.25,pre_1760
1733,6,174.0,165.0,9.0,4961.401041666667,28.513799090038315,4.0,50.0,738.953125,pre_1760
1734,5,188.0,177.0,11.0,6272.640625,33.365109707446805,5.470833333333333,54.23500000000004,624.703125,pre_1760
1735,5,154.0,142.0,12.0,5717.510416666667,37.12669101731602,4.638541666666667,74.16156250000004,647.1645833333333,pre_1760
1736,5,152.0,136.0,16.0,5727.711458333333,37.68231222587719,5.763020833333334,79.00000000000006,660.15,pre_1760
1737,5,185.0,167.0,18.0,5746.282291666666,31.06098536036036,5.0,80.09999999999994,609.5416666666666,pre_1760
1738,4,159.0,147.0,12.0,3858.109375,24.26483883647799,3.875,50.0,637.8145833333333,pre_1760
1739,6,175.0,158.0,17.0,4801.99375,27.439964285714282,3.75625,50.0,474.45,pre_1760
1740,5,183.0,169.0,14.0,14876.762499999999,81.29378415300546,4.4750000000000005,92.52000000000007,1786.2604166666667,pre_1760
1741,5,169.0,157.0,12.0,6409.220833333334,37.924383629191325,6.415625,92.5208333333335,690.6510416666666,pre_1760
1742,5,177.0,162.0,15.0,10528.98125,59.4857697740113,4.675000000000001,95.48625000000011,1154.4,pre_1760
1743,7,173.0,158.0,15.0,5561.870833333333,32.14954238921002,4.0,59.85833333333335,593.115625,pre_1760
1744,7,186.0,168.0,18.0,8053.719791666666,43.29956877240143,4.748958333333333,90.37187499999999,751.0864583333333,pre_1760
1745,6,184.0,173.0,11.0,10960.673958333333,59.56888020833333,3.7666666666666666,48.850000000000065,1458.4875,pre_1760
1746,7,212.0,199.0,13.0,8150.820833333333,38.447268081761,3.767708333333333,50.0,1056.3583333333333,pre_1760
1747,7,196.0,183.0,13.0,7218.510416666667,36.829134778911566,3.675,50.0,911.3864583333334,pre_1760
1748,7,193.0,183.0,10.0,6368.7625,32.998769430051816,3.808333333333333,48.72291666666674,835.1520833333333,pre_1760
1749,7,196.0,180.0,16.0,12881.03125,65.71954719387755,3.55625,96.42291666666667,1704.9093750000002,pre_1760
1750,8,182.0,171.0,11.0,9176.0375,50.417788461538464,5.29375,101.96531250000005,924.6531249999999,pre_1760
1751,7,168.0,163.0,5.0,3084.757291666667,18.361650545634923,4.393229166666667,33.83333333333335,303.78125,pre_1760
1752,8,188.0,174.0,14.0,6851.196875,36.442536569148935,4.570833333333333,70.35406250000001,955.146875,pre_1760
1753,6,164.0,155.0,9.0,9461.766666666666,57.69369918699187,6.675000000000001,90.80000000000007,1043.1291666666666,pre_1760
1754,9,201.0,186.0,15.0,8466.980208333334,42.12427964344943,2.75,99.74791666666667,893.1854166666667,pre_1760
1755,8,203.0,184.0,19.0,8840.352083333333,43.54853243021346,4.105208333333333,99.65520833333333,848.6229166666667,pre_1760
1756,7,152.0,138.0,14.0,7054.276041666666,46.409710800438596,5.0,99.55968750000002,768.69375,pre_1760
1757,8,167.0,150.0,17.0,9253.067708333334,55.407591067864274,6.883333333333333,123.9193750000003,883.9385416666667,pre_1760
1758,7,193.0,182.0,11.0,9961.984375,51.61649935233161,4.0,93.58812499999999,967.9885416666667,pre_1760
1759,12,149.0,135.5,13.5,7827.171875,52.53135486577181,6.280208333333333,100.0,925.4916666666667,pre_1760
1760,12,149.0,135.5,13.5,7827.171875,52.53135486577181,6.280208333333333,100.0,925.4916666666667,industrial_1760_1840
1761,8,184.0,170.0,14.0,7665.412499999999,41.65985054347826,3.9593749999999996,61.8829166666668,970.25625,industrial_1760_1840
1762,8,171.0,158.0,13.0,7159.127083333333,41.866240253411306,6.0,58.0,993.4760416666667,industrial_1760_1840
1763,9,172.0,158.0,14.0,8292.039583333333,48.20953246124031,5.0,88.225,870.4114583333333,industrial_1760_1840
1764,8,170.0,154.0,16.0,9530.553125,56.06207720588235,9.333333333333334,100.0,1171.6364583333332,industrial_1760_1840
1765,8,165.0,146.0,19.0,11550.813541666666,70.00493055555556,6.75,172.65562499999982,1144.0208333333333,industrial_1760_1840
1766,10,202.0,185.0,17.0,10740.221875000001,53.16941522277228,5.7828125,100.0,1321.446875,industrial_1760_1840
1767,14,360.5,327.0,33.5,19548.80625,56.40470533033033,6.494791666666667,105.12666666666667,1431.8947916666666,industrial_1760_1840
1768,14,194.5,176.0,18.5,11755.805208333333,60.44115788346187,6.666666666666667,137.55374999999995,1431.8947916666666,industrial_1760_1840
1769,6,75.0,67.0,8.0,3370.3088541666666,44.93745138888889,3.3666666666666663,100.0,1257.0197916666666,industrial_1760_1840
1770,6,156.5,140.5,16.0,7252.6328125,46.34270167731629,5.4,100.0,1257.0197916666666,industrial_1760_1840
1771,9,184.5,169.0,15.5,9915.373958333334,53.741864272809394,6.666666666666667,113.83374999999978,1511.9010416666667,industrial_1760_1840
1772,9,191.0,176.5,14.5,17155.551041666666,89.81963896160558,4.6083333333333325,182.613750000002,2401.123958333333,industrial_1760_1840
1773,12,205.0,189.0,16.0,17556.555729166666,85.64173526422763,5.166666666666666,112.6126041666667,2401.123958333333,industrial_1760_1840
1774,12,223.5,204.5,19.0,14636.639583333334,65.48832028337063,6.925000000000001,106.69062500000001,1575.3,industrial_1760_1840
1775,11,202.0,183.5,18.5,13674.263541666667,67.69437396864687,5.377083333333333,111.8056249999999,1575.3,industrial_1760_1840
1776,16,285.5,263.5,22.0,20357.655729166665,71.30527400758902,5.25,100.0,3550.422916666667,industrial_1760_1840
1777,16,190.0,176.5,13.5,14885.977083333333,78.34724780701754,5.4833333333333325,81.90750000000021,3550.422916666667,industrial_1760_1840
1778,9,97.5,89.5,8.0,8244.993229166666,84.56403311965812,6.015625,138.27270833333333,1664.65,industrial_1760_1840
1779,9,169.5,154.5,15.0,20446.599479166667,120.62890548180924,6.015625,220.13625,5413.690624999999,industrial_1760_1840
1780,10,184.5,169.0,15.5,18178.50833333333,98.52850045167118,5.55,169.72749999999985,5413.690624999999,industrial_1760_1840
1781,10,195.0,179.5,15.5,11052.395833333334,56.678952991452995,5.889583333333333,150.89374999999998,1378.6489583333332,industrial_1760_1840
1782,9,199.5,184.0,15.5,11068.108333333334,55.479239766081875,5.833333333333333,157.11645833333307,1634.7479166666667,industrial_1760_1840
1783,9,211.5,197.0,14.5,12146.640625,57.43092494089834,6.2250000000000005,152.73854166666666,1634.7479166666667,industrial_1760_1840
1784,8,186.0,172.0,14.0,12647.34375,67.99647177419355,6.65,172.21187500000084,1482.3604166666667,industrial_1760_1840
1785,10,224.5,201.5,23.0,18823.949479166666,83.84832730141054,6.6125,205.94374999999988,1771.8510416666666,industrial_1760_1840
1786,11,249.5,223.0,26.5,23465.481770833332,94.05002713760855,6.666666666666667,220.815625,1771.8510416666666,industrial_1760_1840
1787,11,227.5,205.0,22.5,20073.5828125,88.23552884615385,6.0,220.0,1759.965625,industrial_1760_1840
1788,10,216.5,196.5,20.0,17548.365625,81.05480658198614,5.7,175.0,1899.4947916666667,industrial_1760_1840
1789,11,233.5,215.0,18.5,18976.016666666666,81.26773733047823,3.5166666666666666,150.7325,2231.246875,industrial_1760_1840
1790,11,236.5,219.0,17.5,22250.758333333335,94.08354474982383,3.6,150.7575,2320.5552083333337,industrial_1760_1840
1791,10,157.5,141.0,16.5,21069.418229166666,133.774083994709,8.722916666666666,257.33083333333354,2453.9354166666667,industrial_1760_1840
1792,9,126.0,109.5,16.5,18392.984375,145.97606646825398,12.985416666666667,336.48822916666694,2453.9354166666667,industrial_1760_1840
1793,12,191.5,173.5,18.0,22112.509375,115.47002284595301,8.965625,229.8266666666667,2971.301041666667,industrial_1760_1840
1794,12,210.0,190.5,19.5,22376.905208333334,106.55669146825397,9.43125,217.14791666666667,2971.301041666667,industrial_1760_1840
1795,10,218.5,196.5,22.0,23812.978645833333,108.98388396262395,9.0,233.87416666666675,2919.807291666667,industrial_1760_1840
1796,10,221.5,200.5,21.0,25594.969791666666,115.5529110233258,9.0,235.06000000000003,2919.807291666667,industrial_1760_1840
1797,8,207.5,190.0,17.5,23256.90572916667,112.08147339357431,9.0,209.29833333333337,2588.428125,industrial_1760_1840
1798,8,216.5,198.0,18.5,24147.866666666665,111.53749037721323,7.783333333333333,184.43000000000006,2611.008333333333,industrial_1760_1840
1799,8,191.5,174.5,17.0,25094.778125,131.0432278067885,9.03125,230.40500000000006,2831.8406250000003,industrial_1760_1840
1800,7,270.0,246.5,23.5,42076.97604166667,155.44199329096045,11.6015625,329.3896874999993,2831.8406250000003,industrial_1760_1840
1801,8,196.0,181.0,15.0,28500.8,145.41224489795917,12.997916666666667,247.26875,2878.8145833333333,industrial_1760_1840
1802,7,187.0,178.0,9.0,9884.097916666668,52.85613859180036,8.325000000000001,110.0,1436.4020833333334,industrial_1760_1840
1803,9,235.0,215.0,20.0,28589.957291666666,121.65939273049645,5.340625,144.34875,2862.6427083333333,industrial_1760_1840
1804,8,236.0,216.0,20.0,23565.516666666666,99.85388418079096,4.4875,165.94375,2310.8031250000004,industrial_1760_1840
1805,8,248.0,228.0,20.0,28126.798958333333,113.41451192876345,9.0125,183.6628125000001,2316.7,industrial_1760_1840
1806,8,219.0,201.0,18.0,31887.259374999998,145.60392408675798,9.825000000000001,230.52666666666673,2476.929166666667,industrial_1760_1840
1807,7,162.0,146.0,16.0,26455.971875,163.30846836419752,18.0,228.39854166666674,2576.3708333333334,industrial_1760_1840
1808,4,134.0,125.0,9.0,18556.678125000002,138.4826725746269,9.704687499999999,204.16250000000002,2255.429166666667,industrial_1760_1840
1809,13,385.0,355.0,30.0,52729.91875,136.96082792207793,10.026041666666666,164.0625000000004,2954.9208333333336,industrial_1760_1840
1810,9,234.0,213.0,21.0,37813.603125,161.59659455128207,12.016666666666666,303.25354166666745,2252.7697916666666,industrial_1760_1840
1811,7,221.0,207.0,14.0,26422.763541666667,119.56001602564103,12.0,190.39166666666665,2772.489583333333,industrial_1760_1840
1812,7,231.0,216.0,15.0,33426.240625,144.70234036796535,11.197916666666668,221.53333333333333,3320.7864583333335,industrial_1760_1840
1813,7,219.0,202.0,17.0,20376.50833333333,93.04341704718416,10.5,172.7,2036.028125,industrial_1760_1840
1814,7,218.0,200.0,18.0,32607.970833333333,149.57784785932722,10.222916666666666,153.90833333333333,11949.551041666666,industrial_1760_1840
1815,5,154.0,143.0,11.0,9509.961458333333,61.75299648268398,8.527604166666666,142.58812500000008,2049.639583333333,industrial_1760_1840
1816,5,171.0,155.0,16.0,31501.867708333335,184.22144858674466,11.5125,251.50833333333333,3888.082291666667,industrial_1760_1840
1817,11,363.0,340.0,23.0,50686.38854166667,139.63192435720845,10.2,183.6633333333335,3426.190625,industrial_1760_1840
1818,3,73.0,65.0,8.0,8265.56875,113.2269691780822,30.458333333333332,262.59666666666664,1754.0041666666666,industrial_1760_1840
1819,6,167.0,158.0,9.0,34052.39166666666,203.90653692614768,7.5,247.39333333333357,4402.264583333334,industrial_1760_1840
1820,10,204.0,185.0,19.0,37387.041666666664,183.26981209150327,14.483333333333334,576.8087500000067,3527.740625,industrial_1760_1840
1821,11,233.0,213.0,20.0,32924.628125,141.30741684549358,13.05,262.42833333333346,3361.6208333333334,industrial_1760_1840
1822,9,210.0,192.0,18.0,32801.942708333336,156.1997271825397,14.829166666666666,323.38624999999945,2895.365625,industrial_1760_1840
1823,11,275.0,253.0,22.0,53502.36875,194.5540681818182,12.0,311.10625000000005,3918.6052083333334,industrial_1760_1840
1824,11,257.0,242.0,15.0,38339.88125,149.1824173151751,12.570833333333335,203.37687500000015,3367.0927083333336,industrial_1760_1840
1825,12,230.0,210.0,20.0,53638.379166666666,233.21034420289854,16.304166666666667,459.7740624999989,4424.296875,industrial_1760_1840
1826,10,216.0,198.0,18.0,48917.22708333333,226.46864390432097,16.740625,452.30052083333334,3975.483333333333,industrial_1760_1840
1827,12,248.0,228.0,20.0,41273.27916666667,166.4245127688172,14.9375,307.7018750000001,3281.1927083333335,industrial_1760_1840
1828,12,257.0,236.0,21.0,51763.18020833333,201.41315256160829,10.0,352.94166666666666,3709.0520833333335,industrial_1760_1840
1829,13,262.0,240.0,22.0,40972.74270833333,156.38451415394402,10.713541666666668,337.0175000000004,3011.5614583333336,industrial_1760_1840
1830,12,228.0,209.0,19.0,40567.589583333334,177.9280244883041,12.8359375,312.9625,4043.3031250000004,industrial_1760_1840
1831,12,246.0,232.0,14.0,39374.121875,160.05740599593494,10.2,240.12083333333334,4210.523958333333,industrial_1760_1840
1832,12,265.0,240.0,25.0,42173.369791666664,159.14479166666666,9.333333333333334,242.39374999999998,4515.618750000001,industrial_1760_1840
1833,11,246.0,227.0,19.0,90261.91770833333,366.9183646680217,12.976041666666667,375.36249999999995,7623.572916666667,industrial_1760_1840
1834,15,292.0,268.0,24.0,83086.34166666666,284.5422659817351,15.804166666666667,369.75416666666666,5495.073958333333,industrial_1760_1840
1835,12,251.0,231.0,20.0,37402.105208333334,149.01237134794158,13.333333333333334,246.68333333333334,3015.0260416666665,industrial_1760_1840
1836,13,262.0,241.0,21.0,40863.871875,155.9689766221374,12.875,249.4222916666667,3200.2625,industrial_1760_1840
1837,13,281.0,261.0,20.0,41405.145833333336,147.34927342823252,10.0,266.41875,3095.59375,industrial_1760_1840
1838,9,197.0,181.0,16.0,34448.51354166667,174.86555097292725,8.2,401.0125,3330.690625,industrial_1760_1840
1839,11,273.0,247.0,26.0,50978.78020833333,186.73545863858362,8.058333333333334,408.16666666666663,3911.9854166666664,industrial_1760_1840
1840,8,214.0,199.0,15.0,35219.677083333336,164.57793029595015,9.264583333333334,234.20552083333365,3197.3875,industrial_1760_1840
1841,10,250.0,230.0,20.0,48948.18125,195.79272500000002,5.933333333333334,471.9833333333331,3651.34375,post_1840
1842,8,220.0,200.0,20.0,37655.777083333334,171.1626231060606,8.411979166666667,331.27333333333286,3490.742708333333,post_1840
1843,12,328.0,304.0,24.0,42616.85104166667,129.92942390752034,10.0,197.50677083333343,3282.322916666667,post_1840
1844,8,221.0,199.0,22.0,30452.827083333334,137.79559766214177,7.397916666666666,171.56875000000002,3614.234375,post_1840
1845,10,244.0,225.0,19.0,35522.636458333334,145.5845756489071,4.418750000000001,341.17843750000253,3996.4666666666667,post_1840
1846,10,258.0,239.0,19.0,63040.85,244.34437984496122,7.020833333333334,368.08750000000003,5270.532291666666,post_1840
1847,10,263.0,243.0,20.0,36430.410416666666,138.5186707858048,7.2250000000000005,218.1125000000001,3145.159375,post_1840
1848,12,328.0,302.0,26.0,40516.02395833333,123.52446328760162,9.55,189.30416666666682,3028.047916666667,post_1840
1849,9,261.0,239.0,22.0,30404.83125,116.49360632183908,3.6875,126.90833333333335,3003.4666666666667,post_1840
1850,11,291.0,266.0,25.0,75339.20625,258.89761597938144,8.542708333333334,299.1739583333333,5243.202083333334,post_1840
1851,7,219.0,201.0,18.0,32155.716666666667,146.82975646879757,9.362499999999999,300.85083333333347,3301.615625,post_1840
1852,11,274.0,249.0,25.0,37353.46666666667,136.3265206812652,6.80625,195.32458333333437,3596.865625,post_1840
1853,11,272.0,254.0,18.0,46011.85833333334,169.16124387254902,10.0,259.1262500000002,4179.369791666667,post_1840
1854,9,234.0,217.0,17.0,40975.067708333336,175.10712695868946,9.502083333333333,465.0772916666697,3489.344791666667,post_1840
1855,10,288.0,272.0,16.0,54415.021875,188.94104817708333,6.947916666666667,102.5475000000001,5563.648958333334,post_1840
1856,9,243.0,229.0,14.0,42177.933333333334,173.57174211248287,5.525,260.3020833333334,4919.221875,post_1840
1857,7,182.0,170.0,12.0,77928.11562499999,428.1764594780219,8.460416666666667,559.6154166666666,7873.579166666666,post_1840
1858,8,221.0,208.0,13.0,57093.13958333334,258.3399981146305,7.183333333333334,450.5208333333333,5793.604166666667,post_1840
1859,6,177.0,159.0,18.0,46347.20208333334,261.8485993408663,4.125,300.0,6203.304166666667,post_1840
1860,6,207.0,189.0,18.0,78966.24583333333,381.4794484702093,10.0,475.8600000000003,7728.583333333334,post_1840
1861,8,227.0,215.0,12.0,75125.42395833333,330.9490042217327,8.183333333333334,447.7708333333333,7489.058333333333,post_1840
1862,7,201.0,191.0,10.0,51421.16979166667,255.8267153814262,8.541666666666666,385.01666666666665,6117.106250000001,post_1840
1863,8,230.0,213.0,17.0,57424.875,249.6733695652174,7.65,178.88374999999994,6762.247916666666,post_1840
1864,8,234.0,215.0,19.0,52527.41666666667,224.47613960113964,5.604166666666667,197.33125000000067,6850.710416666667,post_1840
1865,6,192.0,179.0,13.0,38427.275,200.14205729166667,3.1104166666666666,156.83500000000018,5433.795833333334,post_1840
1866,7,225.0,208.0,17.0,51376.23333333334,228.33881481481484,8.0,204.88499999999965,5356.208333333333,post_1840
1867,7,215.0,201.0,14.0,39436.572916666664,183.42592054263565,2.275,99.30999999999999,6185.845833333334,post_1840
1868,7,213.0,203.0,10.0,30178.825,141.68462441314554,5.0,139.61500000000024,4532.504166666667,post_1840
1869,9,257.0,227.0,30.0,56588.6625,220.18934824902723,4.9,515.3879166666675,4011.297916666667,post_1840
1870,9,249.0,228.0,21.0,66120.053125,265.54238202811246,6.779166666666667,702.6500000000012,5051.868750000001,post_1840
1871,9,261.0,243.0,18.0,57314.51875,219.5958572796935,8.1,308.2208333333333,5133.64375,post_1840
1872,9,249.0,223.0,26.0,67662.48229166667,271.73687667336014,7.216666666666667,500.0,5264.046875,post_1840
1873,17,498.0,458.0,40.0,238402.98854166665,478.72086052543506,8.3875,308.08583333333337,13595.467708333334,post_1840
1876,10,329.0,301.0,28.0,59667.480208333334,181.36012221377914,6.9750000000000005,150.96166666666662,6059.478125,post_1840
1877,9,265.0,247.0,18.0,45681.25208333333,172.38208333333333,6.25,222.2912499999998,5801.936458333333,post_1840
1878,8,262.0,239.0,23.0,54821.63125,209.2428673664122,7.216666666666667,205.56875000000002,7036.140625,post_1840
1879,9,282.0,255.0,27.0,244768.7270833333,867.9742095153663,5.75,105.49000000000001,154217.30104166665,post_1840
1880,8,256.0,241.0,15.0,26998.283333333333,105.46204427083333,5.5125,113.875,5386.515625,post_1840
1881,12,341.0,316.0,25.0,67387.74583333333,197.618022971652,5.625,178.10833333333332,7779.5375,post_1840
1882,10,324.0,286.0,38.0,51976.51875,160.42135416666667,9.729166666666666,219.25624999999997,4860.003125,post_1840
1883,5,229.0,170.0,59.0,179522.4125,783.9406659388646,85.20833333333334,1808.6058333333335,19875.75,post_1840
1884,5,247.0,157.0,90.0,241913.69166666668,979.4076585695008,113.82916666666667,2976.75,20564.404166666667,post_1840
1885,1,68.0,54.0,14.0,164174.9875,2414.338051470588,238.79166666666669,8741.928750000043,16278.841666666665,post_1840
1886,1,86.0,73.0,13.0,111173.75,1292.718023255814,107.74166666666667,4338.289583333333,14498.783333333333,post_1840
1889,5,243.0,173.0,70.0,232558.525,957.0309670781893,105.90833333333335,2722.673333333333,15418.129166666668,post_1840
1891,8,498.0,316.0,182.0,668077.540625,1341.5211659136546,136.11666666666665,2853.599687500001,22317.0,post_1840
1892,4,303.0,198.0,105.0,280036.74583333335,924.2136826182618,115.33749999999999,2642.75,14827.808333333332,post_1840
1893,10,408.0,289.0,119.0,452699.68333333335,1109.558047385621,113.81666666666666,3246.4416666666666,14280.179166666667,post_1840
1894,6,114.0,91.0,23.0,179383.45416666666,1573.5390716374268,238.60208333333333,4580.971666666666,14193.933333333332,post_1840
1895,6,108.0,87.0,21.0,205113.01666666666,1899.1945987654321,314.88541666666663,5528.95,14300.758333333333,post_1840
1896,6,113.0,91.0,22.0,197735.8875,1749.875110619469,214.25,6402.481666666663,14494.4125,post_1840
1897,6,112.0,87.0,25.0,199150.14583333334,1778.1263020833335,156.06875,7426.274583333338,15727.629166666668,post_1840
1898,6,109.0,88.0,21.0,231041.3,2119.64495412844,182.475,7790.070000000001,15725.216666666667,post_1840
1899,6,109.0,86.0,23.0,204457.9125,1875.7606651376148,144.98333333333332,8467.738333333335,15883.05,post_1840
1900,6,106.0,86.0,20.0,218772.40416666667,2063.890605345912,225.08333333333334,8658.322916666668,16002.779166666667,post_1840
