page,pipeline,model_combo,final_axis1,final_axis2,final_combined,axis2_match,axis2_similarity,axis2_fraction,config,row_count_score,type_count_score,header_text_score,amount_match_score,amount_similarity_score,fraction_match_score,structurer_model,extractor_model,corrector_model,supervisor_model,extractor_models
1753_4,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.6535,0.5572,0.6054,0.4722,0.937,0.2,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.6316,0.329,1.0,0.4722,0.937,0.2,,,,gemini-flash,gemini-flash|gpt-5-mini
1759-1760_3,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,0.7572,0.8786,0.9259,0.9808,0.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,0.9259,0.9808,0.0,,,,gemini-flash,gemini-flash|claude-haiku
1759-1760_3,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.7163,0.8581,0.8519,0.9678,0.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.8519,0.9678,0.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1759-1760_3,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8848,0.7368,0.8108,0.8889,0.9744,0.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6543,1.0,0.8889,0.9744,0.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1759-1760_3,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.7759,0.888,0.963,0.9815,0.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.963,0.9815,0.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1767_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.6667,0.8944,0.7805,0.8621,0.9732,0.8571,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,0.0,0.8621,0.9732,0.8571,,,,gemini-flash,gemini-flash|claude-haiku
1767_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.6667,0.894,0.7803,0.8621,0.9717,0.8571,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,0.0,0.8621,0.9717,0.8571,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1767_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.6667,0.8445,0.7556,0.8621,0.9972,0.5714,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,0.0,0.8621,0.9972,0.5714,,,,gemini-flash,gpt-5-mini|claude-haiku
1767_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.6667,0.8944,0.7805,0.8621,0.9732,0.8571,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,0.0,0.8621,0.9732,0.8571,,,,gemini-flash,gemini-flash|gpt-5-mini
1774-1775_5,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.9222,0.8831,0.9026,0.85,0.9938,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,0.7667,1.0,0.85,0.9938,0.8,,,,gemini-flash,gemini-flash|claude-haiku
1774-1775_5,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.8814,0.9407,0.85,0.988,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.85,0.988,0.8,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1774-1775_5,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.9293,0.8294,0.8794,0.9,0.9981,0.4,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9545,0.8333,1.0,0.9,0.9981,0.4,,,,gemini-flash,gpt-5-mini|claude-haiku
1774-1775_5,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.9293,0.9348,0.9321,0.95,0.9994,0.8,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9545,0.8333,1.0,0.95,0.9994,0.8,,,,gemini-flash,gemini-flash|gpt-5-mini
1783-1784_2,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7414,0.854,0.7977,0.7368,0.952,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.8636,0.7606,0.6,0.7368,0.952,1.0,,,,gemini-flash,gemini-flash|claude-haiku
1783-1784_2,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.7414,0.8408,0.7911,0.7105,0.9519,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.8636,0.7606,0.6,0.7105,0.9519,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1783-1784_2,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.7086,0.8402,0.7744,0.7105,0.9499,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.7955,0.7303,0.6,0.7105,0.9499,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1783-1784_2,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.7414,0.8408,0.7911,0.7105,0.9519,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.8636,0.7606,0.6,0.7105,0.9519,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1788-1789_3,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8399,0.95,0.8949,1.0,1.0,0.75,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9643,0.8889,0.6667,1.0,1.0,0.75,,,,gemini-flash,gemini-flash|claude-haiku
1788-1789_3,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8399,0.95,0.8949,1.0,1.0,0.75,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9643,0.8889,0.6667,1.0,1.0,0.75,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1788-1789_3,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1788-1789_3,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8399,0.95,0.8949,1.0,1.0,0.75,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9643,0.8889,0.6667,1.0,1.0,0.75,,,,gemini-flash,gemini-flash|gpt-5-mini
1795-1796_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7654,0.9333,0.8494,1.0,1.0,0.6667,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.963,0.8333,0.5,1.0,1.0,0.6667,,,,gemini-flash,gemini-flash|claude-haiku
1795-1796_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.705,0.9211,0.8131,0.86,0.9703,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.963,0.6522,0.5,0.86,0.9703,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1795-1796_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.9828,0.9434,0.9631,0.9,0.9779,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.963,0.9855,1.0,0.9,0.9779,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1795-1796_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.7729,0.964,0.8684,0.94,0.98,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,0.8188,0.5,0.94,0.98,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1801_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,0.9818,0.9909,1.0,1.0,0.9091,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,1.0,1.0,0.9091,,,,gemini-flash,gemini-flash|claude-haiku
1801_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9818,0.9909,1.0,1.0,0.9091,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,0.9091,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1801_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9818,0.9909,1.0,1.0,0.9091,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,0.9091,,,,gemini-flash,gpt-5-mini|claude-haiku
1801_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.9818,0.9909,1.0,1.0,0.9091,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,0.9091,,,,gemini-flash,gemini-flash|gpt-5-mini
1807_4,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7475,0.9432,0.8454,0.8889,0.9957,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9091,0.8333,0.5,0.8889,0.9957,1.0,,,,gemini-flash,gemini-flash|claude-haiku
1807_4,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.7619,0.8185,0.7902,0.6667,0.9506,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.7857,0.5,0.6667,0.9506,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1807_4,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.7013,0.8887,0.795,0.7778,0.9995,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.8182,0.7857,0.5,0.7778,0.9995,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1807_4,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.7475,0.8875,0.8175,0.7778,0.9954,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9091,0.8333,0.5,0.7778,0.9954,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1814_2,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8541,0.8115,0.8328,0.6522,0.9513,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9412,0.9212,0.7,0.6522,0.9513,1.0,,,,gemini-flash,gemini-flash|claude-haiku
1814_2,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.869,0.8115,0.8402,0.6522,0.9513,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9706,0.9364,0.7,0.6522,0.9513,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1814_2,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.9023,0.8118,0.857,0.8261,0.996,0.5,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9706,0.9364,0.8,0.8261,0.996,0.5,,,,gemini-flash,gpt-5-mini|claude-haiku
1814_2,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8888,0.8115,0.8501,0.6522,0.9513,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9118,0.9545,0.8,0.6522,0.9513,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1819_5,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7278,0.8221,0.775,0.7778,0.9106,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9167,0.7667,0.5,0.7778,0.9106,0.8,,,,gemini-flash,gemini-flash|claude-haiku
1819_5,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.9611,0.8221,0.8916,0.7778,0.9106,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9167,0.9667,1.0,0.7778,0.9106,0.8,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1819_5,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8333,0.8221,0.8277,0.7778,0.9106,0.8,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,0.5,0.7778,0.9106,0.8,,,,gemini-flash,gpt-5-mini|claude-haiku
1819_5,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.7944,0.8221,0.8083,0.7778,0.9106,0.8,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9167,0.9667,0.5,0.7778,0.9106,0.8,,,,gemini-flash,gemini-flash|gpt-5-mini
1825_10,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,0.8148,0.9074,0.7308,0.9794,0.7778,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,0.7308,0.9794,0.7778,,,,gemini-flash,gemini-flash|claude-haiku
1825_10,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.8563,0.9282,0.8077,0.9897,0.7778,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.8077,0.9897,0.7778,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1825_10,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.8065,0.9032,0.7308,0.952,0.7778,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.7308,0.952,0.7778,,,,gemini-flash,gpt-5-mini|claude-haiku
1825_10,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.8489,0.9244,0.8077,0.9649,0.7778,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.8077,0.9649,0.7778,,,,gemini-flash,gemini-flash|gpt-5-mini
1831_10,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8889,0.9244,0.9066,0.9167,0.998,0.8333,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,0.6667,0.9167,0.998,0.8333,,,,gemini-flash,gemini-flash|claude-haiku
1831_10,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9455,0.9728,0.9583,0.9987,0.8333,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.9583,0.9987,0.8333,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1831_10,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.8492,0.9246,0.875,0.9835,0.5833,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.875,0.9835,0.5833,,,,gemini-flash,gpt-5-mini|claude-haiku
1831_10,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.8825,0.9412,0.875,0.9832,0.75,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.875,0.9832,0.75,,,,gemini-flash,gemini-flash|gpt-5-mini
1838_9,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8322,0.6937,0.763,0.5833,0.8958,0.6667,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.8966,0.8,0.8,0.5833,0.8958,0.6667,,,,gemini-flash,gemini-flash|claude-haiku
1838_9,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8322,0.6992,0.7657,0.5833,0.9138,0.6667,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.8966,0.8,0.8,0.5833,0.9138,0.6667,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1838_9,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8322,0.8068,0.8195,0.7917,0.9255,0.6667,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.8966,0.8,0.8,0.7917,0.9255,0.6667,,,,gemini-flash,gpt-5-mini|claude-haiku
1838_9,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8322,0.7006,0.7664,0.5833,0.9187,0.6667,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.8966,0.8,0.8,0.5833,0.9187,0.6667,,,,gemini-flash,gemini-flash|gpt-5-mini
1844_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.9333,0.8737,0.9035,0.9474,1.0,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,0.8,0.9474,1.0,0.5,,,,gemini-flash,gemini-flash|claude-haiku
1844_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1844_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.8053,0.9026,0.8421,0.9476,0.5,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.8421,0.9476,0.5,,,,gemini-flash,gpt-5-mini|claude-haiku
1844_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.9333,1.0,0.9667,1.0,1.0,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,0.8,1.0,1.0,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1850_4,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.5521,0.9687,0.7604,0.9394,0.9966,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,0.6562,0.0,0.9394,0.9966,1.0,,,,gemini-flash,gemini-flash|claude-haiku
1850_4,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.4444,0.9844,0.7144,0.9697,0.9986,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.3333,0.0,0.9697,0.9986,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1850_4,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.5521,0.9686,0.7604,0.9394,0.9964,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6562,0.0,0.9394,0.9964,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1850_4,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.5458,0.9844,0.7651,0.9697,0.9986,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9706,0.6667,0.0,0.9697,0.9986,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1855_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,0.9589,0.9794,0.9412,0.9612,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,0.9412,0.9612,1.0,,,,gemini-flash,gemini-flash|claude-haiku
1855_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9421,0.971,0.9118,0.9542,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.9118,0.9542,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1855_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9485,0.9743,0.9118,0.9753,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.9118,0.9753,1.0,,,,gemini-flash,gpt-5-mini|claude-haiku
1855_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.9653,0.9827,0.9412,0.9822,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.9412,0.9822,1.0,,,,gemini-flash,gemini-flash|gpt-5-mini
1860_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8398,0.8785,0.8591,0.8095,0.9125,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.7917,0.7278,1.0,0.8095,0.9125,1.0,,,,gemini-flash,gemini-flash|claude-haiku
